iter	Logloss
0	0.6673565688
1	0.6440700391
2	0.6235202793
3	0.60533138
4	0.5899832286
5	0.5753766387
6	0.5627970741
7	0.5517980654
8	0.5414432787
9	0.5323991819
10	0.5244977474
11	0.5170967669
12	0.5109207791
13	0.5052182694
14	0.500156348
15	0.4953080081
16	0.4911110474
17	0.4873521013
18	0.4841434703
19	0.4810946134
20	0.4783633479
21	0.4758558777
22	0.4737162165
23	0.4718730512
24	0.4701778517
25	0.4686455131
26	0.4672197647
27	0.4659396417
28	0.4647085986
29	0.4636536823
30	0.4626547483
31	0.4617852755
32	0.4610313812
33	0.4603329767
34	0.4596315131
35	0.459064918
36	0.4584847062
37	0.4580287706
38	0.4575409188
39	0.4570341977
40	0.4566693858
41	0.4563615582
42	0.4559725966
43	0.4556839873
44	0.455335864
45	0.4550814762
46	0.4547687888
47	0.4545033972
48	0.4542676058
49	0.4540068391
50	0.4537812235
51	0.4535331783
52	0.453323944
53	0.4530708161
54	0.4528521396
55	0.4526656441
56	0.4525276253
57	0.4523721556
58	0.4521812586
59	0.4519665665
60	0.4517728848
61	0.4516119082
62	0.4514711278
63	0.4513076951
64	0.45118718
65	0.4511082362
66	0.4509638587
67	0.4508219326
68	0.4507251277
69	0.4506381352
70	0.4504920783
71	0.4503972384
72	0.4502812883
73	0.450161495
74	0.4500487853
75	0.4499454859
76	0.4498483744
77	0.449757761
78	0.4496561103
79	0.4495632141
80	0.4494325401
81	0.4493069493
82	0.4492019058
83	0.449097137
84	0.4490068163
85	0.4489126024
86	0.4488590219
87	0.4487509028
88	0.4486264575
89	0.4485331769
90	0.4484611481
91	0.4483722868
92	0.4483037113
93	0.4482446252
94	0.4481276405
95	0.4480051289
96	0.4479171336
97	0.4478065705
98	0.4477375231
99	0.4476670204
100	0.447592066
101	0.4474785154
102	0.447403669
103	0.4473481795
104	0.4472536615
105	0.4471512647
106	0.4470912406
107	0.4470337284
108	0.4469644997
109	0.4468896054
110	0.4468479528
111	0.4467721885
112	0.4466733625
113	0.4465882199
114	0.4465202122
115	0.4464304283
116	0.4463579562
117	0.4462665431
118	0.4462151889
119	0.4461391926
120	0.4460612695
121	0.4460090267
122	0.4459264786
123	0.4458172847
124	0.44574573
125	0.4456704912
126	0.4455713229
127	0.4455163697
128	0.4454562246
129	0.4453787244
130	0.4452913354
131	0.4452219094
132	0.4451432127
133	0.4450447291
134	0.4449755545
135	0.4448700826
136	0.4447797529
137	0.4446795572
138	0.4446233166
139	0.4445022526
140	0.4444026475
141	0.4443579057
142	0.4442842241
143	0.4442040986
144	0.4441461028
145	0.4441051256
146	0.4440350205
147	0.4439575297
148	0.443838441
149	0.4437785965
150	0.4437124459
151	0.443638245
152	0.4435741854
153	0.443520484
154	0.4434748422
155	0.4434380103
156	0.4433713009
157	0.4433047034
158	0.4432403436
159	0.4431575964
160	0.443118198
161	0.4430385368
162	0.4429457088
163	0.442883097
164	0.4427948051
165	0.4426916365
166	0.442617627
167	0.4425650086
168	0.4425394652
169	0.4424754561
170	0.442380619
171	0.442291664
172	0.4422113173
173	0.4421135873
174	0.4420707783
175	0.4420311917
176	0.4419217777
177	0.4418437812
178	0.4417360224
179	0.441666153
180	0.4416062967
181	0.4415408344
182	0.4414974529
183	0.4414377073
184	0.4413681965
185	0.4412929676
186	0.4412124728
187	0.4411168046
188	0.4410309166
189	0.4409636378
190	0.4408898162
191	0.4408159411
192	0.4407683365
193	0.4406797653
194	0.4406040455
195	0.4405164605
196	0.4404841832
197	0.4404123294
198	0.4403548446
199	0.4402545205
200	0.440201099
201	0.4401232213
202	0.440036923
203	0.4399714249
204	0.439934595
205	0.4398645315
206	0.4397710794
207	0.4397007169
208	0.439615413
209	0.4395251287
210	0.4394267546
211	0.4393303155
212	0.4392164888
213	0.439145825
214	0.4391085553
215	0.4389723625
216	0.4388876349
217	0.4387946744
218	0.4387238652
219	0.4386279166
220	0.4385498311
221	0.4384725529
222	0.4384104996
223	0.4383262968
224	0.4382320367
225	0.4381587987
226	0.4380990016
227	0.4380510745
228	0.4379767378
229	0.4379069982
230	0.4378329031
231	0.4377210149
232	0.4376247214
233	0.437542474
234	0.4374956052
235	0.4374200985
236	0.4373435101
237	0.4372930443
238	0.4372063176
239	0.4371209448
240	0.4370691092
241	0.4369578344
242	0.4368541303
243	0.4367930924
244	0.4367038872
245	0.4366162759
246	0.4365220403
247	0.4364445942
248	0.4363516238
249	0.4362562877
250	0.436193518
251	0.4360818998
252	0.4359626548
253	0.4358557122
254	0.4357744126
255	0.4356844583
256	0.4356079283
257	0.435526372
258	0.4354316605
259	0.4353111716
260	0.4352039151
261	0.4351308304
262	0.4350421303
263	0.4349500361
264	0.4349092585
265	0.4348203301
266	0.4347127832
267	0.4346030723
268	0.4345266523
269	0.4344427033
270	0.4343595177
271	0.4342778365
272	0.4342126674
273	0.4341249878
274	0.4340789842
275	0.4339971826
276	0.4339034755
277	0.4338413816
278	0.4337400122
279	0.4336818407
280	0.4335713326
281	0.4334956805
282	0.433422836
283	0.4333586983
284	0.4333052748
285	0.433223819
286	0.4331221605
287	0.4330507312
288	0.4329704801
289	0.4329175323
290	0.4328238848
291	0.4327180341
292	0.4326301031
293	0.4325335946
294	0.4324862653
295	0.4324066889
296	0.432338283
297	0.4322622366
298	0.4321774544
299	0.4320489247
300	0.4319624502
301	0.4318888557
302	0.4317924406
303	0.4316720607
304	0.4316017272
305	0.4315090295
306	0.4314014104
307	0.4312964803
308	0.4312072953
309	0.4311500537
310	0.4310030657
311	0.4308942368
312	0.4307983393
313	0.4307380362
314	0.4306377682
315	0.430584035
316	0.4304717005
317	0.4304193396
318	0.4303686876
319	0.4302567496
320	0.4301848452
321	0.4300924659
322	0.4299889823
323	0.4298950312
324	0.4298100628
325	0.4296975458
326	0.4296151678
327	0.4295378816
328	0.4294690112
329	0.4293975774
330	0.4292799256
331	0.4291822167
332	0.429103871
333	0.4289935111
334	0.4289317753
335	0.4288523165
336	0.4287502261
337	0.428684393
338	0.4285856939
339	0.4284312452
340	0.4283694353
341	0.4282613119
342	0.4281825298
343	0.4280941308
344	0.4280213585
345	0.4279196569
346	0.4278183772
347	0.4277447204
348	0.4276455725
349	0.4275617159
350	0.4274697962
351	0.4273705284
352	0.4272971174
353	0.4271829917
354	0.427119066
355	0.4270348954
356	0.4269641808
357	0.4268720957
358	0.4267463341
359	0.4266405964
360	0.4265856029
361	0.426496226
362	0.426431856
363	0.4263451275
364	0.4263001373
365	0.4262035637
366	0.4261300821
367	0.4260606941
368	0.4259610101
369	0.4258922181
370	0.4258378636
371	0.4257681339
372	0.4256450048
373	0.4255388315
374	0.4254799649
375	0.4253888629
376	0.4253191617
377	0.4252734534
378	0.4252276645
379	0.4251698198
380	0.4251067447
381	0.4250543531
382	0.4250005503
383	0.4249127885
384	0.4248191599
385	0.4247344112
386	0.4246359339
387	0.4245695983
388	0.424508025
389	0.4244177036
390	0.4243380939
391	0.4242622503
392	0.4241515073
393	0.4240495283
394	0.4239489615
395	0.4238716125
396	0.4238132743
397	0.4237290754
398	0.4236294753
399	0.4235480086
400	0.4234901532
401	0.4234245599
402	0.4233482272
403	0.4232425051
404	0.4231913771
405	0.4231070086
406	0.4229909933
407	0.4229313385
408	0.4228851979
409	0.4228171677
410	0.4227261321
411	0.4226218669
412	0.4225479043
413	0.4224685022
414	0.4223988793
415	0.4223282872
416	0.4222352651
417	0.4221646168
418	0.4220919099
419	0.4220181508
420	0.4219330875
421	0.4218903884
422	0.4217974785
423	0.4216991338
424	0.4216208258
425	0.4215683016
426	0.4214675983
427	0.4214453766
428	0.4214038702
429	0.4213271716
430	0.4212399846
431	0.4211445003
432	0.4210502912
433	0.4209280509
434	0.420827439
435	0.4207235394
436	0.4206536035
437	0.4205700138
438	0.4204587058
439	0.4203770687
440	0.4203145924
441	0.4201933728
442	0.4201551721
443	0.4200848487
444	0.4200144941
445	0.419922328
446	0.4198808377
447	0.4197881774
448	0.4197036902
449	0.4196497084
450	0.4195898751
451	0.4194935014
452	0.4193936806
453	0.4193379162
454	0.4192656512
455	0.419211944
456	0.4191602726
457	0.4190921505
458	0.4190098516
459	0.418954455
460	0.4188525063
461	0.4187908587
462	0.4187214072
463	0.4186621642
464	0.4185624719
465	0.4184768825
466	0.4184181583
467	0.4183435809
468	0.4182451041
469	0.4181757072
470	0.4181304836
471	0.418055653
472	0.417992357
473	0.4178567341
474	0.4177987293
475	0.4177203626
476	0.4176315681
477	0.4175517357
478	0.4175483976
479	0.4174585055
480	0.4173694161
481	0.4172978434
482	0.417250516
483	0.4171494498
484	0.4170494701
485	0.4169926408
486	0.4169439747
487	0.4168896983
488	0.4168225914
489	0.4167490468
490	0.4166738263
491	0.4166303868
492	0.4165700785
493	0.4164877833
494	0.4164077098
495	0.4163353468
496	0.4162797534
497	0.416185499
498	0.4161150606
499	0.4160842016
500	0.4159892704
501	0.4159184822
502	0.415805267
503	0.4157285182
504	0.4156471907
505	0.4155699563
506	0.4154958994
507	0.4154147512
508	0.4153235554
509	0.4152615149
510	0.4151763144
511	0.4150716469
512	0.4149687534
513	0.4148797448
514	0.4148266647
515	0.4147401293
516	0.4146409483
517	0.4145690928
518	0.4144812406
519	0.4143639477
520	0.414315623
521	0.4141983635
522	0.4141214726
523	0.4140623611
524	0.4139674537
525	0.4138671826
526	0.4137885669
527	0.4137245157
528	0.4136447387
529	0.4135827488
530	0.4134954002
531	0.4134057724
532	0.4133537355
533	0.413270847
534	0.4132230294
535	0.4131578279
536	0.4130774149
537	0.4129997312
538	0.4129209823
539	0.4128358903
540	0.4127360317
541	0.4126659326
542	0.412589434
543	0.4125381539
544	0.4124674098
545	0.4124163077
546	0.4123362722
547	0.4122490099
548	0.4121627141
549	0.4120669375
550	0.4120161478
551	0.4119547904
552	0.4118988501
553	0.4118203032
554	0.4117608667
555	0.4116846101
556	0.411623215
557	0.411527612
558	0.4114617961
559	0.4113987021
560	0.4113439281
561	0.4112391789
562	0.4111631385
563	0.4110897202
564	0.4110010103
565	0.4109333183
566	0.4108546602
567	0.4107968362
568	0.4107320799
569	0.4106858511
570	0.4106330987
571	0.4105450337
572	0.4104938578
573	0.4104160924
574	0.4103615298
575	0.4102971027
576	0.4102403435
577	0.4101662105
578	0.4101010245
579	0.4100019436
580	0.4099394405
581	0.4098348757
582	0.4097647678
583	0.4097135247
584	0.4096453571
585	0.4096043544
586	0.4095067248
587	0.4094225698
588	0.4093560117
589	0.4092618472
590	0.4092021055
591	0.4091018469
592	0.4090136297
593	0.4089364091
594	0.4088562332
595	0.408776458
596	0.4086754741
597	0.4086250821
598	0.4085458728
599	0.4084571848
600	0.4084034152
601	0.4083267101
602	0.4082649605
603	0.4081802853
604	0.4081003669
605	0.4080280697
606	0.4079709704
607	0.4079155075
608	0.4078370463
609	0.4077691837
610	0.4076889815
611	0.4076087685
612	0.4075184007
613	0.4074611957
614	0.4073978573
615	0.4072960206
616	0.4072339518
617	0.4071539479
618	0.4070749909
619	0.40701824
620	0.4069369593
621	0.4068361243
