paso,metodo,threshold,n_features,auc_train,auc_val,acc_train,acc_val,rec_train,rec_val,prec_train,prec_val,f1_train,f1_val,gini_train,gini_val,n_eliminadas,elegido
0,Estado_Inicial,-,41,0.6994,0.7631,0.7594,0.744,0.8409,0.7914,0.8537,0.8464,0.8472,0.818,0.3988,0.5263,0,True
1,missing_variable_method,0.1,41,0.6994,0.7631,0.7594,0.744,0.8409,0.7914,0.8537,0.8464,0.8472,0.818,0.3988,0.5263,0,True
1,missing_variable_method,0.15,41,0.6994,0.7631,0.7594,0.744,0.8409,0.7914,0.8537,0.8464,0.8472,0.818,0.3988,0.5263,0,False
2,PSI_method,>0.2_bins=10,40,0.699,0.7627,0.7591,0.7464,0.84,0.7962,0.854,0.8458,0.847,0.8203,0.3979,0.5253,1,True
3,correlation_method,0.8,28,0.6995,0.7621,0.76,0.7524,0.84,0.8063,0.855,0.8458,0.8475,0.8256,0.399,0.5243,12,False
3,correlation_method,0.9,34,0.6999,0.7637,0.7594,0.747,0.8401,0.7971,0.8543,0.8459,0.8472,0.8208,0.3999,0.5274,6,False
3,correlation_method,0.95,36,0.6995,0.7634,0.7565,0.7436,0.8353,0.7902,0.8546,0.8469,0.8448,0.8175,0.3989,0.5267,4,False
3,correlation_method,0.99,37,0.6982,0.7638,0.7574,0.7466,0.838,0.7955,0.8536,0.8467,0.8458,0.8203,0.3964,0.5276,3,True
4,univariante_method,0.01,29,0.6967,0.7641,0.7577,0.7446,0.8384,0.7926,0.8536,0.8463,0.8459,0.8186,0.3933,0.5281,8,True
4,univariante_method,0.02,20,0.6967,0.7616,0.7517,0.7379,0.8275,0.7795,0.855,0.8476,0.841,0.8121,0.3935,0.5233,17,False
4,univariante_method,0.05,11,0.6884,0.7546,0.7424,0.728,0.8161,0.767,0.8529,0.8446,0.8341,0.8039,0.3767,0.5093,26,False
5,variance_threshold_method ,0.01,29,0.6967,0.7641,0.7577,0.7446,0.8384,0.7926,0.8536,0.8463,0.8459,0.8186,0.3933,0.5281,0,True
6,rf_importance_method [EXTRA],top_20,20,0.6961,0.7637,0.7568,0.7461,0.8369,0.7953,0.8537,0.8462,0.8452,0.82,0.3922,0.5275,9,False
6,rf_importance_method [EXTRA],top_25,25,0.6965,0.7629,0.7574,0.7432,0.8379,0.7899,0.8537,0.8465,0.8457,0.8172,0.393,0.5258,4,False
6,rf_importance_method [EXTRA],top_30,29,0.6967,0.7641,0.7577,0.7446,0.8384,0.7926,0.8536,0.8463,0.8459,0.8186,0.3933,0.5281,0,True
